station,name,lat,lon,elevation,n_obs,peak_gust,peak_sustained_wind,time_peak_gust,time_peak_sustained,mean_wind,cold_pool_arrival,cold_pool_temp_drop,cold_pool_pres_surge,pre_event_mean_temp,pct_missing_wind,pct_missing_gust
KHOU,Houston Hobby,29.6375,-95.2824,14.0,319,27.779976,19.034428000000002,2024-05-16 23:53:00,2024-05-16 23:53:00,4.468345876891892,,,,26.85185185185185,7.210031347962382,89.96865203761756
KIAH,Bush Intercontinental,29.9844,-95.3607,28.0,321,27.779976,18.00554,2024-05-16 23:53:00,2024-05-16 23:53:00,4.0462666127946125,2024-05-16 23:20:00,-4.2592592592592595,,26.48148148148148,7.476635514018691,93.14641744548287
KGLS,Galveston,29.2653,-94.8604,16.0,326,12.346656,10.28888,2024-05-16 19:52:00,2024-05-16 22:10:00,6.195420687116565,,,,26.296296296296294,0.0,89.87730061349694
KDWH,David Wayne Hooks,30.068,-95.5562,46.0,319,23.664424,12.346656,2024-05-16 23:05:00,2024-05-16 23:04:00,2.9420279872204476,2024-05-16 22:53:00,-5.925925925925927,-6.233333333333235,27.592592592592595,1.8808777429467085,85.8934169278997
KSGR,Sugar Land,29.6223,-95.6565,2.0,321,16.462208,9.774436,2024-05-16 23:30:00,2024-05-16 23:45:00,4.412673122112212,2024-05-16 23:38:00,-3.5185185185185155,,26.296296296296294,5.607476635514018,87.53894080996885
KTME,Houston Executive,29.805,-95.8979,50.6,72,24.178868,16.976652,2024-05-16 22:55:00,2024-05-16 23:35:00,4.6832143448275865,2024-05-16 02:15:00,-7.875,,26.875,19.444444444444446,84.72222222222221
KCLL,College Station,30.5881,-96.3639,98.0,337,22.121092,15.43332,2024-05-16 21:00:00,2024-05-16 21:03:00,5.033044645669292,,,,28.888888888888886,24.629080118694365,80.41543026706232
KBPT,Beaumont,29.9521,-94.0261,4.58,305,13.889988,9.774436,2024-05-16 23:53:00,2024-05-16 15:20:00,4.602558986666668,,,,25.925925925925924,1.639344262295082,86.22950819672131
KLCH,Lake Charles,30.1255,-93.2277,4.74,317,12.346656,9.774436,2024-05-16 17:55:00,2024-05-16 16:53:00,4.132200673139158,,,,26.666666666666668,2.5236593059936907,91.7981072555205
KLFT,Lafayette,30.1986,-91.9896,14.59,313,8.745548,5.6588840000000005,2024-05-16 18:53:00,2024-05-16 16:15:00,1.6029529933774835,,,,25.925925925925924,3.5143769968051117,97.44408945686901
KMSY,New Orleans Intl,29.9933,-90.2511,9.0,315,11.832212,9.259992,2024-05-16 21:53:00,2024-05-16 21:50:00,2.5930056161616157,,,,27.037037037037038,5.714285714285714,97.77777777777777
KNEW,New Orleans Lakefront,30.0424,-90.0282,3.0,314,13.375544,8.231104,2024-05-16 21:53:00,2024-05-16 19:55:00,3.6874018322580646,,,,28.703703703703706,1.2738853503184715,91.40127388535032
KBTR,Baton Rouge,30.5372,-91.1469,21.0,316,9.774436,7.202216,2024-05-16 19:53:00,2024-05-16 20:20:00,2.5054725189873417,,,,24.074074074074076,0.0,96.83544303797468
